L1,L2,L3,L4,len1,len2,len3,len4,experiment,perturbation
21.138840000000002,21.138840000000002,21.138840000000002,21.138840000000002,74,74,74,74,0,0.0
9.260279999999998,9.260279999999998,9.260279999999998,9.260279999999998,46,46,46,46,0,0.0
23.16888,23.16888,23.16888,23.16888,74,74,74,74,0,0.0
21.064680000000003,21.064680000000003,21.064680000000003,21.064680000000003,70,70,70,70,0,0.0
27.68832,27.68832,27.68832,27.68832,91,91,91,91,0,0.0
14.498999999999997,14.498999999999997,14.498999999999997,14.498999999999997,52,52,52,52,0,0.0
16.11,16.11,16.11,16.11,61,61,61,61,0,0.0
18.478080000000002,18.478080000000002,18.478080000000002,18.478080000000002,61,61,61,61,0,0.0
24.789600000000007,24.789600000000007,24.789600000000007,24.789600000000007,82,82,82,82,0,0.0
36.128519999999995,36.128519999999995,36.128519999999995,36.128519999999995,125,125,125,125,0,0.0
20.53836,20.53836,20.53836,20.53836,65,65,65,65,1,0.0
35.01540000000001,35.01540000000001,35.01540000000001,35.01540000000001,119,119,119,119,1,0.0
17.134560000000004,17.134560000000004,17.134560000000004,17.134560000000004,54,54,54,54,1,0.0
38.97899999999999,38.97899999999999,38.97899999999999,38.97899999999999,137,137,137,137,1,0.0
22.473360000000003,22.473360000000003,22.473360000000003,22.473360000000003,73,73,73,73,1,0.0
20.662920000000003,20.662920000000003,20.662920000000003,20.662920000000003,72,72,72,72,1,0.0
21.870720000000002,21.870720000000002,21.870720000000002,21.870720000000002,76,76,76,76,1,0.0
29.142,29.142,29.142,29.142,99,99,99,99,1,0.0
20.845800000000008,20.845800000000008,20.845800000000008,20.845800000000008,67,67,67,67,1,0.0
40.201199999999986,40.201199999999986,40.201199999999986,40.201199999999986,139,139,139,139,1,0.0
34.15248000000001,34.15248000000001,34.15248000000001,34.15248000000001,117,117,117,117,2,0.0
20.124719999999996,20.124719999999996,20.124719999999996,20.124719999999996,74,74,74,74,2,0.0
26.910000000000004,26.910000000000004,26.910000000000004,26.910000000000004,91,91,91,91,2,0.0
18.542520000000007,18.542520000000007,18.542520000000007,18.542520000000007,68,68,68,68,2,0.0
26.959679999999995,26.959679999999995,26.959679999999995,26.959679999999995,89,89,89,89,2,0.0
19.94544,19.94544,19.94544,19.94544,71,71,71,71,2,0.0
30.92616,30.92616,30.92616,30.92616,108,108,108,108,2,0.0
30.296520000000005,30.296520000000005,30.296520000000005,30.296520000000005,104,104,104,104,2,0.0
12.306239999999999,12.306239999999999,12.306239999999999,12.306239999999999,51,51,51,51,2,0.0
21.173039999999997,21.173039999999997,21.173039999999997,21.173039999999997,75,75,75,75,2,0.0
25.457400000000007,25.457400000000007,25.457400000000007,25.457400000000007,86,86,86,86,3,0.0
22.737960000000008,22.737960000000008,22.737960000000008,22.737960000000008,76,76,76,76,3,0.0
23.14332,23.14332,23.14332,23.14332,84,84,84,84,3,0.0
48.063239999999986,48.063239999999986,48.063239999999986,48.063239999999986,166,166,166,166,3,0.0
23.40575999999999,23.40575999999999,23.40575999999999,23.40575999999999,77,77,77,77,3,0.0
18.09792,18.09792,18.09792,18.09792,56,56,56,56,3,0.0
24.095519999999997,24.095519999999997,24.095519999999997,24.095519999999997,87,87,87,87,3,0.0
16.875720000000005,16.875720000000005,16.875720000000005,16.875720000000005,57,57,57,57,3,0.0
16.30764,16.30764,16.30764,16.30764,59,59,59,59,3,0.0
22.005000000000003,22.005000000000003,22.005000000000003,22.005000000000003,77,77,77,77,3,0.0
38.48976,38.48976,38.48976,38.48976,129,129,129,129,4,0.0
30.892319999999994,30.892319999999994,30.892319999999994,30.892319999999994,109,109,109,109,4,0.0
43.730279999999986,43.730279999999986,43.730279999999986,43.730279999999986,150,150,150,150,4,0.0
16.764840000000003,16.764840000000003,16.764840000000003,16.764840000000003,55,55,55,55,4,0.0
17.833680000000005,17.833680000000005,17.833680000000005,17.833680000000005,57,57,57,57,4,0.0
12.984839999999998,12.984839999999998,12.984839999999998,12.984839999999998,42,42,42,42,4,0.0
19.242720000000002,19.242720000000002,19.242720000000002,19.242720000000002,63,63,63,63,4,0.0
17.55108,17.55108,17.55108,17.55108,60,60,60,60,4,0.0
26.35776,26.35776,26.35776,26.35776,87,87,87,87,4,0.0
21.528359999999996,21.528359999999996,21.528359999999996,21.528359999999996,77,77,77,77,4,0.0
20.947680000000002,20.947680000000002,20.947680000000002,20.947680000000002,73,73,73,73,5,0.0
31.010759999999998,31.010759999999998,31.010759999999998,31.010759999999998,107,107,107,107,5,0.0
17.85779999999999,17.85779999999999,17.85779999999999,17.85779999999999,62,62,62,62,5,0.0
19.53432,19.53432,19.53432,19.53432,68,68,68,68,5,0.0
9.33084,9.33084,9.33084,9.33084,40,40,40,40,5,0.0
24.30396,24.30396,24.30396,24.30396,84,84,84,84,5,0.0
20.49624,20.49624,20.49624,20.49624,73,73,73,73,5,0.0
20.010240000000007,20.010240000000007,20.010240000000007,20.010240000000007,66,66,66,66,5,0.0
22.36824,22.36824,22.36824,22.36824,81,81,81,81,5,0.0
19.65564,19.65564,19.65564,19.65564,65,65,65,65,5,0.0
13.408919999999998,13.408919999999998,13.408919999999998,13.408919999999998,44,44,44,44,6,0.0
12.642120000000002,12.642120000000002,12.642120000000002,12.642120000000002,50,50,50,50,6,0.0
36.01584,36.01584,36.01584,36.01584,121,121,121,121,6,0.0
18.492120000000003,18.492120000000003,18.492120000000003,18.492120000000003,66,66,66,66,6,0.0
16.20936,16.20936,16.20936,16.20936,55,55,55,55,6,0.0
23.572440000000007,23.572440000000007,23.572440000000007,23.572440000000007,76,76,76,76,6,0.0
29.88575999999999,29.88575999999999,29.88575999999999,29.88575999999999,110,110,110,110,6,0.0
16.680239999999998,16.680239999999998,16.680239999999998,16.680239999999998,52,52,52,52,6,0.0
16.038,16.038,16.038,16.038,52,52,52,52,6,0.0
42.07032000000001,42.07032000000001,42.07032000000001,42.07032000000001,145,145,145,145,6,0.0
14.929559999999999,14.929559999999999,14.929559999999999,14.929559999999999,46,46,46,46,7,0.0
23.649480000000008,23.649480000000008,23.649480000000008,23.649480000000008,86,86,86,86,7,0.0
29.24027999999999,29.24027999999999,29.24027999999999,29.24027999999999,105,105,105,105,7,0.0
15.95592,15.95592,15.95592,15.95592,54,54,54,54,7,0.0
18.10656000000001,18.10656000000001,18.10656000000001,18.10656000000001,55,55,55,55,7,0.0
21.309480000000004,21.309480000000004,21.309480000000004,21.309480000000004,74,74,74,74,7,0.0
19.537559999999992,19.537559999999992,19.537559999999992,19.537559999999992,74,74,74,74,7,0.0
27.83808,27.83808,27.83808,27.83808,93,93,93,93,7,0.0
11.11572,11.11572,11.11572,11.11572,40,40,40,40,7,0.0
11.89008,11.89008,11.89008,11.89008,45,45,45,45,7,0.0
24.265440000000005,24.265440000000005,24.265440000000005,24.265440000000005,85,85,85,85,8,0.0
21.851999999999997,21.851999999999997,21.851999999999997,21.851999999999997,77,77,77,77,8,0.0
28.877039999999983,28.877039999999983,28.877039999999983,28.877039999999983,97,97,97,97,8,0.0
23.482799999999994,23.482799999999994,23.482799999999994,23.482799999999994,69,69,69,69,8,0.0
17.758079999999996,17.758079999999996,17.758079999999996,17.758079999999996,63,63,63,63,8,0.0
15.360480000000003,15.360480000000003,15.360480000000003,15.360480000000003,48,48,48,48,8,0.0
44.58996,44.58996,44.58996,44.58996,157,157,157,157,8,0.0
11.034720000000002,11.034720000000002,11.034720000000002,11.034720000000002,42,42,42,42,8,0.0
18.182160000000003,18.182160000000003,18.182160000000003,18.182160000000003,66,66,66,66,8,0.0
21.2112,21.2112,21.2112,21.2112,77,77,77,77,8,0.0
23.10696,23.10696,23.10696,23.10696,75,75,75,75,9,0.0
42.79428,42.79428,42.79428,42.79428,149,149,149,149,9,0.0
22.86324000000001,22.86324000000001,22.86324000000001,22.86324000000001,78,78,78,78,9,0.0
30.142439999999997,30.142439999999997,30.142439999999997,30.142439999999997,100,100,100,100,9,0.0
20.887920000000012,20.887920000000012,20.887920000000012,20.887920000000012,75,75,75,75,9,0.0
16.12044,16.12044,16.12044,16.12044,55,55,55,55,9,0.0
25.3098,25.3098,25.3098,25.3098,86,86,86,86,9,0.0
21.354480000000006,21.354480000000006,21.354480000000006,21.354480000000006,78,78,78,78,9,0.0
20.786400000000008,20.786400000000008,20.786400000000008,20.786400000000008,68,68,68,68,9,0.0
14.05584,14.05584,14.05584,14.05584,52,52,52,52,9,0.0
19.969560000000005,19.969560000000005,19.969560000000005,19.969560000000005,67,67,67,67,0,0.5
19.92528,19.92528,19.92528,19.92528,69,69,69,69,0,0.5
37.27223999999999,37.27223999999999,37.27223999999999,37.27223999999999,129,129,129,129,0,0.5
20.47356,20.47356,20.47356,20.47356,68,68,68,68,0,0.5
71.0898,12.209039999999998,12.209039999999998,11.391479999999998,43,45,45,43,0,0.5
32.946839999999995,32.946839999999995,32.946839999999995,32.946839999999995,114,114,114,114,0,0.5
43.546679999999974,43.546679999999974,43.546679999999974,43.546679999999974,148,148,148,148,0,0.5
84.36048,26.23500000000001,25.230600000000003,25.230600000000003,77,82,80,80,0,0.5
19.97136,19.97136,19.97136,19.97136,69,69,69,69,0,0.5
47.441879999999976,47.441879999999976,47.441879999999976,47.441879999999976,160,160,160,160,0,0.5
26.20404,26.20404,26.20404,26.20404,89,89,89,89,1,0.5
18.867599999999996,18.867599999999996,18.867599999999996,18.867599999999996,63,63,63,63,1,0.5
27.96624000000001,27.96624000000001,27.96624000000001,27.96624000000001,97,97,97,97,1,0.5
33.93683999999999,33.93683999999999,33.93683999999999,33.93683999999999,114,114,114,114,1,0.5
34.96499999999999,34.96499999999999,34.96499999999999,34.96499999999999,119,119,119,119,1,0.5
44.637119999999996,44.637119999999996,44.637119999999996,44.637119999999996,157,157,157,157,1,0.5
16.921439999999997,16.921439999999997,16.921439999999997,16.921439999999997,60,60,60,60,1,0.5
34.87572000000001,34.87572000000001,34.87572000000001,34.87572000000001,119,119,119,119,1,0.5
25.808040000000002,25.808040000000002,25.808040000000002,25.808040000000002,94,94,94,94,1,0.5
33.69311999999999,33.69311999999999,33.69311999999999,33.69311999999999,111,111,111,111,1,0.5
162.45408000000015,44.36388000000001,43.13268,43.13268,145,155,149,149,2,0.5
153.39360000000013,35.30340000000001,34.07220000000001,34.07220000000001,114,124,118,118,2,0.5
16.403760000000002,16.403760000000002,16.403760000000002,16.403760000000002,58,58,58,58,2,0.5
81.64787999999997,23.467320000000004,23.467320000000004,22.415760000000002,78,86,86,82,2,0.5
13.432319999999997,13.432319999999997,13.432319999999997,13.432319999999997,43,43,43,43,2,0.5
86.68787999999999,28.50732,28.50732,27.276120000000002,93,101,101,95,2,0.5
13.993199999999996,13.993199999999996,13.993199999999996,13.993199999999996,47,47,47,47,2,0.5
11.847240000000001,11.847240000000001,11.847240000000001,11.847240000000001,43,43,43,43,2,0.5
72.3786,14.19804,14.19804,13.44348,48,56,56,52,2,0.5
82.35780000000004,22.448159999999987,22.448159999999987,22.448159999999987,72,74,74,74,2,0.5
22.606560000000005,22.606560000000005,22.606560000000005,22.606560000000005,79,79,79,79,3,0.5
70.75751999999999,12.69684,11.455560000000002,11.455560000000002,44,48,42,42,3,0.5
84.41664000000004,24.85332000000001,24.85332000000001,24.85332000000001,80,82,82,82,3,0.5
12.644280000000002,12.644280000000002,12.644280000000002,12.644280000000002,46,46,46,46,3,0.5
80.04048000000003,20.477160000000005,20.477160000000005,20.477160000000005,64,66,66,66,3,0.5
152.93856000000008,34.29791999999998,33.13583999999999,33.13583999999999,109,113,108,108,3,0.5
14.200200000000002,14.200200000000002,14.200200000000002,14.200200000000002,48,48,48,48,3,0.5
79.46700000000001,19.897199999999994,19.55303999999999,19.55303999999999,64,67,64,64,3,0.5
86.56584000000005,27.00252,27.00252,27.00252,85,87,87,87,3,0.5
94.64676000000004,35.57592000000001,34.758,34.758,121,122,120,120,3,0.5
86.19359999999995,28.82088,28.085759999999993,26.801279999999995,93,102,98,94,4,0.5
87.20051999999997,27.483840000000015,27.483840000000015,27.306360000000016,94,96,96,94,4,0.5
81.20399999999998,21.487320000000008,21.487320000000008,21.309840000000005,71,73,73,71,4,0.5
30.815279999999998,30.815279999999998,30.815279999999998,30.815279999999998,103,103,103,103,4,0.5
141.20651999999984,21.596760000000003,21.596760000000003,21.528720000000003,73,75,75,75,4,0.5
83.46192000000006,24.48828,24.48828,23.64228,83,84,84,84,4,0.5
80.42496000000001,20.708280000000006,20.708280000000006,20.530800000000006,66,68,68,66,4,0.5
33.35039999999999,33.35039999999999,33.35039999999999,33.35039999999999,114,114,114,114,4,0.5
84.92819999999996,27.555479999999996,26.820359999999994,25.535879999999995,93,102,98,94,4,0.5
34.36739999999999,34.36739999999999,34.36739999999999,34.36739999999999,115,115,115,115,4,0.5
31.148999999999994,31.148999999999994,31.148999999999994,31.148999999999994,98,98,98,98,5,0.5
13.76244,13.76244,13.76244,13.76244,46,46,46,46,5,0.5
18.65268,18.65268,18.65268,18.65268,65,65,65,65,5,0.5
35.197919999999975,35.197919999999975,35.197919999999975,35.197919999999975,114,114,114,114,5,0.5
13.18356,13.18356,13.18356,13.18356,44,44,44,44,5,0.5
21.666600000000003,21.666600000000003,21.666600000000003,21.666600000000003,72,72,72,72,5,0.5
44.52119999999997,44.52119999999997,44.52119999999997,44.52119999999997,154,154,154,154,5,0.5
19.294919999999998,19.294919999999998,19.294919999999998,19.294919999999998,67,67,67,67,5,0.5
16.3008,16.3008,16.3008,16.3008,50,50,50,50,5,0.5
19.220399999999998,19.220399999999998,19.220399999999998,19.220399999999998,64,64,64,64,5,0.5
21.160439999999994,21.160439999999994,21.160439999999994,21.160439999999994,65,65,65,65,6,0.5
144.22152000000008,24.343559999999993,24.343559999999993,24.343559999999993,84,86,86,86,6,0.5
19.13652,19.13652,19.13652,19.13652,69,69,69,69,6,0.5
88.35468,28.727999999999998,28.727999999999998,28.727999999999998,97,98,98,98,6,0.5
22.295159999999992,22.295159999999992,22.295159999999992,22.295159999999992,70,70,70,70,6,0.5
17.301960000000005,17.301960000000005,17.301960000000005,17.301960000000005,58,58,58,58,6,0.5
78.07595999999998,18.12096,18.12096,18.12096,62,61,61,61,6,0.5
106.64988,46.726919999999964,46.726919999999964,46.726919999999964,164,167,167,167,6,0.5
159.80016000000003,39.922200000000004,39.922200000000004,39.922200000000004,134,136,136,136,6,0.5
80.08907999999997,20.134080000000004,20.134080000000004,20.134080000000004,71,70,70,70,6,0.5
74.66279999999999,16.08876,16.08876,15.678360000000001,54,58,58,56,7,0.5
26.78544,26.78544,26.78544,26.78544,89,89,89,89,7,0.5
23.714640000000003,23.714640000000003,23.714640000000003,23.714640000000003,80,80,80,80,7,0.5
11.8818,11.8818,11.8818,11.8818,40,40,40,40,7,0.5
20.338920000000005,20.338920000000005,20.338920000000005,20.338920000000005,69,69,69,69,7,0.5
14.033519999999998,14.033519999999998,14.033519999999998,14.033519999999998,46,46,46,46,7,0.5
28.01088,28.01088,28.01088,28.01088,96,96,96,96,7,0.5
14.06916,14.06916,14.06916,14.06916,45,45,45,45,7,0.5
19.54512,19.54512,19.54512,19.54512,66,66,66,66,7,0.5
18.62712,18.62712,18.62712,18.62712,62,62,62,62,7,0.5
83.77836,23.810760000000005,23.810760000000005,23.810760000000005,78,79,79,79,8,0.5
14.93316,14.93316,14.93316,14.93316,47,47,47,47,8,0.5
25.581960000000006,25.581960000000006,25.581960000000006,25.581960000000006,86,86,86,86,8,0.5
28.236959999999996,28.236959999999996,28.236959999999996,28.236959999999996,100,100,100,100,8,0.5
84.15491999999999,25.23924,24.93828,24.93828,88,91,90,90,8,0.5
28.670399999999997,28.670399999999997,28.670399999999997,28.670399999999997,101,101,101,101,8,0.5
24.88896,24.88896,24.88896,24.88896,82,82,82,82,8,0.5
27.050039999999992,27.050039999999992,27.050039999999992,27.050039999999992,90,90,90,90,8,0.5
77.64107999999999,17.673479999999998,17.673479999999998,17.673479999999998,55,56,56,56,8,0.5
12.966840000000001,12.966840000000001,12.966840000000001,12.966840000000001,45,45,45,45,8,0.5
74.55696,15.60528,14.9544,14.8428,56,63,59,58,9,0.5
82.20515999999998,22.215600000000002,22.215600000000002,22.215600000000002,76,77,77,77,9,0.5
24.9876,24.9876,24.9876,24.9876,90,90,90,90,9,0.5
17.373960000000004,17.373960000000004,17.373960000000004,17.373960000000004,62,62,62,62,9,0.5
70.99943999999999,12.04776,11.39688,11.28528,46,53,49,48,9,0.5
78.88704,18.897479999999998,18.897479999999998,18.897479999999998,68,69,69,69,9,0.5
86.13168000000003,26.142119999999995,26.142119999999995,26.142119999999995,91,92,92,92,9,0.5
75.92964,15.940079999999996,15.940079999999996,15.940079999999996,55,56,56,56,9,0.5
14.86872,14.86872,14.86872,14.86872,52,52,52,52,9,0.5
14.480279999999997,14.480279999999997,14.480279999999997,14.480279999999997,46,46,46,46,9,0.5
132.9996,15.305040000000002,15.305040000000002,14.402519999999999,46,46,46,54,0,1.0
88.00800000000001,28.88604,28.88604,28.036440000000002,95,98,98,96,0,1.0
77.81172,18.68976000000001,18.68976000000001,17.840160000000004,64,67,67,65,0,1.0
20.30184,20.30184,20.30184,20.30184,72,72,72,72,0,1.0
144.96635999999992,26.75304,26.75304,25.286399999999993,82,86,86,82,0,1.0
96.23976000000003,37.117799999999974,36.26819999999998,36.26819999999998,122,125,123,123,0,1.0
73.13028,13.38948,13.38948,13.18932,45,45,45,45,0,1.0
12.675959999999998,12.675959999999998,12.675959999999998,12.675959999999998,42,42,42,42,0,1.0
135.70752000000002,19.998360000000005,19.998360000000005,19.966320000000007,51,58,58,57,0,1.0
19.56348,19.56348,19.56348,19.56348,65,65,65,65,0,1.0
16.010279999999998,16.010279999999998,16.010279999999998,16.010279999999998,50,50,50,50,1,1.0
101.24592000000001,42.320879999999974,41.452199999999976,41.452199999999976,142,146,145,145,1,1.0
11.599559999999999,11.599559999999999,11.599559999999999,11.599559999999999,41,41,41,41,1,1.0
24.873480000000008,24.873480000000008,24.873480000000008,24.873480000000008,90,90,90,90,1,1.0
20.97827999999999,20.97827999999999,20.97827999999999,20.97827999999999,73,73,73,73,1,1.0
70.86228000000001,11.937240000000001,11.937240000000001,11.127600000000003,40,44,44,43,1,1.0
100.60224000000004,41.67720000000001,41.67720000000001,40.80852,138,142,142,141,1,1.0
100.42224000000004,41.49719999999999,41.49719999999999,41.16743999999999,132,136,136,136,1,1.0
87.28944000000003,28.189440000000005,28.189440000000005,28.189440000000005,94,98,98,98,1,1.0
20.06064,20.06064,20.06064,20.06064,72,72,72,72,1,1.0
94.41888000000003,34.64963999999999,34.64963999999999,34.64963999999999,118,120,120,120,2,1.0
76.80515999999997,17.08848,17.08848,16.910999999999998,55,57,57,55,2,1.0
75.64992000000005,16.657200000000003,16.657200000000003,16.657200000000003,49,53,53,53,2,1.0
16.366319999999995,16.366319999999995,16.366319999999995,16.366319999999995,48,48,48,48,2,1.0
91.71275999999999,36.58067999999997,32.316839999999985,32.316839999999985,106,129,107,107,2,1.0
19.45476,19.45476,19.45476,19.45476,71,71,71,71,2,1.0
15.453359999999996,15.453359999999996,15.453359999999996,15.453359999999996,53,53,53,53,2,1.0
17.426160000000003,17.426160000000003,17.426160000000003,17.426160000000003,63,63,63,63,2,1.0
22.214160000000003,22.214160000000003,22.214160000000003,22.214160000000003,73,73,73,73,2,1.0
79.88028,20.11104,20.11104,20.11104,69,71,71,71,2,1.0
12.65112,12.65112,12.65112,12.65112,47,47,47,47,3,1.0
139.26684000000003,20.186640000000004,20.186640000000004,19.34388,70,76,76,73,3,1.0
18.747,18.747,18.747,18.747,63,63,63,63,3,1.0
18.16344,18.16344,18.16344,18.16344,61,61,61,61,3,1.0
22.784760000000006,22.784760000000006,22.784760000000006,22.784760000000006,77,77,77,77,3,1.0
79.76688,20.279159999999997,20.279159999999997,19.8018,67,70,70,68,3,1.0
160.2044400000001,41.12423999999999,41.12423999999999,40.281479999999995,133,139,139,136,3,1.0
160.9989600000001,41.918760000000006,41.918760000000006,41.07600000000001,140,146,146,143,3,1.0
155.1428400000001,36.06263999999999,36.06263999999999,35.219879999999996,120,126,126,123,3,1.0
11.696399999999999,11.696399999999999,11.696399999999999,11.696399999999999,45,45,45,45,3,1.0
90.58848000000002,90.58848000000002,34.444079999999985,31.331519999999998,105,105,115,105,4,1.0
138.28476000000003,138.28476000000003,82.35276,78.96155999999999,65,65,78,69,4,1.0
72.50352,13.970159999999998,13.970159999999998,12.846599999999999,41,47,47,40,4,1.0
76.95528,76.95528,20.81088,17.698320000000002,57,57,67,57,4,1.0
85.72272000000002,26.538840000000008,26.217000000000006,25.8354,79,77,75,80,4,1.0
78.15912000000002,19.468799999999995,19.468799999999995,18.39167999999999,66,73,73,65,4,1.0
149.40120000000002,90.6252,34.48080000000001,30.508919999999986,97,104,114,99,4,1.0
76.87031999999999,17.949959999999997,17.628119999999996,17.040599999999998,54,55,53,57,4,1.0
92.76720000000007,34.076879999999996,34.076879999999996,32.99975999999999,115,122,122,114,4,1.0
157.09980000000002,98.3238,42.1794,38.0754,128,135,145,127,4,1.0
76.61292000000003,17.770679999999995,17.770679999999995,17.672039999999992,61,63,63,63,5,1.0
216.64583999999994,99.23100000000002,38.67948000000001,37.53108000000001,124,131,126,124,5,1.0
86.82792000000005,27.98568,27.98568,26.83728,94,96,96,94,5,1.0
72.68747999999997,14.582159999999998,14.582159999999998,13.336559999999999,41,48,48,44,5,1.0
211.16483999999997,93.75000000000001,33.19848000000001,32.05008000000001,101,108,103,101,5,1.0
15.833159999999998,15.833159999999998,15.833159999999998,15.833159999999998,52,52,52,52,5,1.0
156.43452000000008,39.019679999999994,38.24927999999999,37.10087999999999,125,132,126,124,5,1.0
146.41284000000002,28.998,28.227599999999995,27.079199999999993,84,91,85,83,5,1.0
148.0306800000001,30.61583999999999,29.467439999999993,28.96991999999999,98,105,103,102,5,1.0
18.337680000000002,18.337680000000002,18.337680000000002,18.337680000000002,64,64,64,64,5,1.0
16.1496,16.1496,16.1496,16.1496,60,60,60,60,6,1.0
102.47928000000006,44.298719999999996,43.06751999999999,43.06751999999999,145,153,147,147,6,1.0
144.91956000000005,86.73900000000003,85.50780000000003,25.791480000000004,86,94,88,91,6,1.0
18.512640000000005,18.512640000000005,18.512640000000005,18.512640000000005,65,65,65,65,6,1.0
96.60407999999997,38.738159999999986,37.50695999999998,37.50695999999998,124,134,128,128,6,1.0
84.24996,26.069400000000005,24.838200000000008,24.838200000000008,85,93,87,87,6,1.0
20.085480000000004,20.085480000000004,20.085480000000004,20.085480000000004,66,66,66,66,6,1.0
23.893919999999998,23.893919999999998,23.893919999999998,23.893919999999998,75,75,75,75,6,1.0
74.11308000000004,74.11308000000004,74.11308000000004,14.397120000000003,44,44,44,45,6,1.0
78.87552000000001,20.694959999999995,19.46375999999999,19.46375999999999,67,75,69,69,6,1.0
223.8984,44.46395999999999,44.1954,44.1954,151,161,156,156,7,1.0
16.00992,16.00992,16.00992,16.00992,50,50,50,50,7,1.0
195.08291999999994,60.11784000000003,59.92056000000003,31.835160000000005,50,202,202,103,7,1.0
85.42140000000005,44.824680000000015,44.62740000000001,33.95844,78,152,152,118,7,1.0
164.97768000000002,45.6732,45.41148,45.41148,156,163,161,161,7,1.0
194.19299999999998,15.025319999999997,15.025319999999997,14.828039999999994,50,52,52,52,7,1.0
136.47108,17.91684,17.91684,17.250480000000003,60,65,65,68,7,1.0
